rank,recipe_id,title,suspicion_reasons,suggested_decision,is_new_r401_r610,blocker_or_warning
219,r415_smes_orehov,Смесь орехов,missing approximate/user-friendly measure: 3; e.g. миндаль — 10 г; extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
220,r016_ovsyanaya_chia_boul_s_malinovym_yagodnyy_sousom,Овсяная чиа-боул с малиновым ягодный соусом,"ingredient in list not named in steps: 1 (almond_butter); truncation/fragment/weak finish: 1; e.g. Добавьте малиновый ягодный соус, оставшуюся малину, апельсиновые кружочки, банан, миндальную пасту, годжи и семена чиа; missing approximate/user-friendly measure: 1; e.g. миндальная паста — 16 г",D. rewrite steps for completeness,no,warning
221,r077_kokosovyy_ris_s_yaytsom_ogurtsom_i_arahisom,"Кокосовый рис с яйцом, огурцом и арахисом","ingredient in list not named in steps: 1 (milk); truncation/fragment/weak finish: 1; e.g. Выложите рис в тарелку, добавьте яйцо, огурец, арахис, зеленый лук и немного соевого соуса; missing approximate/user-friendly measure: 1; e.g. арахис — 15 г",D. rewrite steps for completeness,no,warning
222,r255_tost_s_indeykoy_syrom_i_tomatom,"Тост с индейкой, сыром и томатом","ingredient in list not named in steps: 1 (whole_grain_bread); truncation/fragment/weak finish: 1; e.g. Выложите индейку, сыр, томат и салат; missing approximate/user-friendly measure: 1; e.g. Сыр гауда — 30 г",D. rewrite steps for completeness,no,warning
223,r262_pita_s_humusom_i_kuritsey,Пита с хумусом и курицей,"ingredient in list not named in steps: 1 (pita); truncation/fragment/weak finish: 1; e.g. Смажьте хумусом, добавьте курицу, огурец, помидор, салат и лимонный сок; missing approximate/user-friendly measure: 1; e.g. Хумус — 50 г",D. rewrite steps for completeness,no,warning
224,r293_tost_s_yaytsom_syrom_i_kukuruzoy,"Тост с яйцом, сыром и кукурузой","ingredient in list not named in steps: 1 (whole_grain_bread); truncation/fragment/weak finish: 1; e.g. Выложите яйцо, сыр, кукурузу и петрушку; missing approximate/user-friendly measure: 1; e.g. Сыр чеддер — 30 г",D. rewrite steps for completeness,no,warning
225,r296_mini_maffiny_iz_yaits_morkovi_kabachka_i_fety,"Мини-маффины из яиц, моркови, кабачка и феты","ingredient in list not named in steps: 1 (feta); truncation/fragment/weak finish: 1; e.g. Дайте маффинам постоять 1-2 минуты, затем проведите ножом по краям и выньте их из формы; missing approximate/user-friendly measure: 1; e.g. фета — 4 г",D. rewrite steps for completeness,no,warning
226,r299_tost_s_yaytsom_bekonom_i_syrom,"Тост с яйцом, беконом и сыром","ingredient in list not named in steps: 1 (whole_grain_bread); truncation/fragment/weak finish: 1; e.g. Подсушите хлеб, выложите салат, помидор, бекон, яйцо и сыр; missing approximate/user-friendly measure: 1; e.g. Сыр гауда — 25 г",D. rewrite steps for completeness,no,warning
227,r327_klubnichnyy_chizkeyk_na_yogurte,Клубничный чизкейк на йогурте,"ingredient in list not named in steps: 1 (oat_cookie); truncation/fragment/weak finish: 1; e.g. Выложите крошку, крем и нарезанную клубнику в небольшую миску; missing approximate/user-friendly measure: 1; e.g. Творожный сыр — 50 г",D. rewrite steps for completeness,no,warning
228,r333_hlebtsy_s_tvorogom_i_tuntsom,Хлебцы с творогом и тунцом,"ingredient in list not named in steps: 1 (whole_grain_bread); truncation/fragment/weak finish: 1; e.g. Выложите на хлебцы, добавьте огурец; missing approximate/user-friendly measure: 1; e.g. Творог 5% — 100 г",D. rewrite steps for completeness,no,warning
229,r334_rzhanoy_tost_s_yaytsom_i_syrom,Ржаной тост с яйцом и сыром,"ingredient in list not named in steps: 1 (whole_grain_bread); truncation/fragment/weak finish: 1; e.g. Подсушите хлеб, добавьте сыр, яйца и помидор; missing approximate/user-friendly measure: 1; e.g. Сыр гауда — 25 г",D. rewrite steps for completeness,no,warning
230,r345_grecheskiy_yogurt_s_klubnikoy_i_temnym_shokoladom,Греческий йогурт с клубникой и темным шоколадом,"ingredient in list not named in steps: 1 (dark_chocolate); truncation/fragment/weak finish: 1; e.g. Выложите йогурт в миску, добавьте клубнику, шоколад, миндаль и мед; missing approximate/user-friendly measure: 1; e.g. Миндаль — 10 г",D. rewrite steps for completeness,no,warning
231,r346_mango_yogurtovyy_boul_s_tvorogom,Манго-йогуртовый боул с творогом,ingredient in list not named in steps: 1 (coconut_flakes); truncation/fragment/weak finish: 1; e.g. Добавьте нарезанное манго и кокосовую стружку; missing approximate/user-friendly measure: 1; e.g. Творог 5% — 150 г,D. rewrite steps for completeness,no,warning
232,r348_banan_s_arahisovoy_pastoy_yogurtom_i_temnym_shokoladom,"Банан с арахисовой пастой, йогуртом и темным шоколадом","ingredient in list not named in steps: 1 (peanut_butter); truncation/fragment/weak finish: 1; e.g. Добавьте нарезанный банан, арахисовую пасту, тертый темный шоколад и какао; missing approximate/user-friendly measure: 1; e.g. Арахисовая паста — 15 г",D. rewrite steps for completeness,no,warning
233,r371_grecheskiy_yogurt_s_bananom_klubnikoy_i_shokoladom,"Греческий йогурт с бананом, клубникой и шоколадом","ingredient in list not named in steps: 1 (dark_chocolate); truncation/fragment/weak finish: 1; e.g. Выложите йогурт в миску, добавьте фрукты, шоколад и орех; missing approximate/user-friendly measure: 1; e.g. Грецкий орех — 10 г",D. rewrite steps for completeness,no,warning
234,r375_yogurt_s_yagodnym_sousom_i_gretskim_orehom,Йогурт с ягодным соусом и грецким орехом,"ingredient in list not named in steps: 1 (honey); truncation/fragment/weak finish: 1; e.g. Выложите йогурт в миску, добавьте ягодный соус и орех; missing approximate/user-friendly measure: 1; e.g. Грецкий орех — 12 г",D. rewrite steps for completeness,no,warning
235,r376_malinovo_fistashkovyy_grecheskiy_yogurt,Малиново-фисташковый греческий йогурт,"ingredient in list not named in steps: 1 (lemon_juice); truncation/fragment/weak finish: 1; e.g. Добавьте малину, фисташки, мед и лимонную цедру; missing approximate/user-friendly measure: 1; e.g. Фисташки — 15 г",D. rewrite steps for completeness,no,warning
236,r395_sredizemnomorskiy_fasolevyy_salat_s_nutom_krasnoy_faso,"Средиземноморский фасолевый салат с нутом, красной фасолью и огурцом","ingredient in list not named in steps: 1 (red_beans); truncation/fragment/weak finish: 1; e.g. В отдельной небольшой миске взбейте оливковое масло, лимонный сок, пропущенный через пресс чеснок, мелкую соль и хлопья красного перца; missing approximate/user-friendly measure: 1; e.g. чеснок — 2,5 г",D. rewrite steps for completeness,no,warning
237,r396_chashechki_iz_salata_s_chernoy_fasolyu_avokado_halapen,"Чашечки из салата с черной фасолью, авокадо, халапеньо и фетой",ingredient in list not named in steps: 1 (feta); truncation/fragment/weak finish: 1; e.g. Выложите начинку в листья салата; missing approximate/user-friendly measure: 1; e.g. Фета — 45 г,D. rewrite steps for completeness,no,warning
238,r419_salat_s_tuntsom_yaytsom_fasolyu_i_ovoschami,"Салат с тунцом, яйцом, фасолью и овощами",ingredient in list not named in steps: 1 (red_beans); missing approximate/user-friendly measure: 1; e.g. сметана (для соуса) — 20 г; extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
239,r426_salat_iz_pecheni_treski_s_lukom,Салат из печени трески с луком,ingredient in list not named in steps: 1 (mayonnaise); missing approximate/user-friendly measure: 1; e.g. сыр гауда — 15 г; extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
